name,alt,number,img_url
キャタピー,キャタピー,item010,https://zukan.pokemon.co.jp/zukan-api/up/images/index/e5d03c9009b0135a6ee0fe78cf6250d8.png
トランセル,トランセル,item011,https://zukan.pokemon.co.jp/zukan-api/up/images/index/bbc6a525ae10c99c7bbda84439fea5cd.png
バタフリー,バタフリー,item012,https://zukan.pokemon.co.jp/zukan-api/up/images/index/4eeaea98d1a502385d951ad34860e2a1.png
バタフリー（キョダイマックスのすがた）,バタフリー,item012-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/d71eff992b92dc293eb4a398ef0e68ee.png
ビードル,ビードル,item013,https://zukan.pokemon.co.jp/zukan-api/up/images/index/561e35ed92ea4b1fe459cac0e34df610.png
コクーン,コクーン,item014,https://zukan.pokemon.co.jp/zukan-api/up/images/index/dc50fd1c89809099ccdfd6c693abc2e9.png
スピアー,スピアー,item015,https://zukan.pokemon.co.jp/zukan-api/up/images/index/2c0e067fc92edbc77e34df311d71a267.png
メガスピアー,メガスピアー,item015-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/760bd5ed0284f49c448ce77f39cc8a77.png
ポッポ,ポッポ,item016,https://zukan.pokemon.co.jp/zukan-api/up/images/index/a23898c81d21da88961ce2a5099306b3.png
ピジョン,ピジョン,item017,https://zukan.pokemon.co.jp/zukan-api/up/images/index/aa29d35d1fba822eabb2e3b7865c73b5.png
ピジョット,ピジョット,item018,https://zukan.pokemon.co.jp/zukan-api/up/images/index/c90558e5f62a5d38f92f1ada76f78cbb.png
メガピジョット,メガピジョット,item018-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/8dea440f65d7550b049e438c124c6417.png
コラッタ,コラッタ,item019,https://zukan.pokemon.co.jp/zukan-api/up/images/index/4a9f1c37b3747e615567fb41e9be0ea3.png
コラッタ（アローラのすがた）,コラッタ,item019-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/c8cdb4cf130d2e76a19e990959ae7a76.png
ラッタ,ラッタ,item020,https://zukan.pokemon.co.jp/zukan-api/up/images/index/067c969a55f31c2728d6f5066dce5794.png
ラッタ（アローラのすがた）,ラッタ,item020-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/7852a70a15c5ed8ff074219a8501ee9d.png
オニスズメ,オニスズメ,item021,https://zukan.pokemon.co.jp/zukan-api/up/images/index/4a8810b5ad00d47299c36d9e850664d3.png
オニドリル,オニドリル,item022,https://zukan.pokemon.co.jp/zukan-api/up/images/index/08b5e3287bb8ec1289393cb590fd73ab.png
アーボ,アーボ,item023,https://zukan.pokemon.co.jp/zukan-api/up/images/index/38739cc93b8abe9b205b784d33934c05.png
アーボック,アーボック,item024,https://zukan.pokemon.co.jp/zukan-api/up/images/index/b747bb7b0f234dfa50b4440515fa3658.png
ピカチュウ,ピカチュウ,item025,https://zukan.pokemon.co.jp/zukan-api/up/images/index/bed6cb9b4af241e7a2bd627dd995e89f.png
ピカチュウ（キョダイマックスのすがた）,ピカチュウ,item025-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/80d6cfacd4779c989dbec2091500854e.png
ライチュウ,ライチュウ,item026,https://zukan.pokemon.co.jp/zukan-api/up/images/index/e816471d233440ea782f45ab587af80d.png
ライチュウ（アローラのすがた）,ライチュウ,item026-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/6b2a4cb6a2788b063dbd09912ea0d0e3.png
サンド,サンド,item027,https://zukan.pokemon.co.jp/zukan-api/up/images/index/9d8717c3873cb7814699f05da078b68d.png
サンド（アローラのすがた）,サンド,item027-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/c57b256d0206a19d957756115c994a42.png
サンドパン,サンドパン,item028,https://zukan.pokemon.co.jp/zukan-api/up/images/index/1060c4f879902be8229d817a7580f1c0.png
サンドパン（アローラのすがた）,サンドパン,item028-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/c7866b03a41506594ec4403cce81112f.png
ニドラン♀,ニドラン♀,item029,https://zukan.pokemon.co.jp/zukan-api/up/images/index/fd9d27faccd880eef49a77672fb15f09.png
ニドリーナ,ニドリーナ,item030,https://zukan.pokemon.co.jp/zukan-api/up/images/index/d47d2067de35ea6f7c47a6264e78e28f.png
ニドクイン,ニドクイン,item031,https://zukan.pokemon.co.jp/zukan-api/up/images/index/77f1a378aa0ee7c57e3e2e6f6c9ea546.png
ニドラン♂,ニドラン♂,item032,https://zukan.pokemon.co.jp/zukan-api/up/images/index/0e8b67b55893ceb2d5c3729766ad9fec.png
ニドリーノ,ニドリーノ,item033,https://zukan.pokemon.co.jp/zukan-api/up/images/index/072ba7f66855b51bafa8bd224936ab69.png
ニドキング,ニドキング,item034,https://zukan.pokemon.co.jp/zukan-api/up/images/index/dca08756ddfe6dd7f8dd61797ed573fa.png
ピッピ,ピッピ,item035,https://zukan.pokemon.co.jp/zukan-api/up/images/index/61464458b9226992c462405fb775557e.png
ピクシー,ピクシー,item036,https://zukan.pokemon.co.jp/zukan-api/up/images/index/a06d6a5e7f0f62afe04c8e75ba0cd922.png
ロコン,ロコン,item037,https://zukan.pokemon.co.jp/zukan-api/up/images/index/aedba5d16a862409e6d9e2aaab1bfbe1.png
ロコン（アローラのすがた）,ロコン,item037-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/b447452fa3b3aa2696b2a41c48ad4a39.png
キュウコン,キュウコン,item038,https://zukan.pokemon.co.jp/zukan-api/up/images/index/dbdbc2a0a6bb83a8b1fbcafd18cd966c.png
キュウコン（アローラのすがた）,キュウコン,item038-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/c351400e6932644752578477b2014f3c.png
プリン,プリン,item039,https://zukan.pokemon.co.jp/zukan-api/up/images/index/ba43a2f03d460d625b9bf0fa7f200acf.png
プクリン,プクリン,item040,https://zukan.pokemon.co.jp/zukan-api/up/images/index/889aa71823a092f53e91e98c4a540948.png
ズバット,ズバット,item041,https://zukan.pokemon.co.jp/zukan-api/up/images/index/375a8efff9a74e440f27264d948b84a7.png
ゴルバット,ゴルバット,item042,https://zukan.pokemon.co.jp/zukan-api/up/images/index/f779a1a08a92a8aaf6f677f9e8591a86.png
ナゾノクサ,ナゾノクサ,item043,https://zukan.pokemon.co.jp/zukan-api/up/images/index/d56cfeffd40c9b22f69df3954b062644.png
クサイハナ,クサイハナ,item044,https://zukan.pokemon.co.jp/zukan-api/up/images/index/e6455bdcf58fce8dd51d55c0a07370d7.png
ラフレシア,ラフレシア,item045,https://zukan.pokemon.co.jp/zukan-api/up/images/index/928000043a796a0abfa1a7e3024f1fff.png
パラス,パラス,item046,https://zukan.pokemon.co.jp/zukan-api/up/images/index/66996555e0add8df1671882aa5fc4ccf.png
パラセクト,パラセクト,item047,https://zukan.pokemon.co.jp/zukan-api/up/images/index/d8d0624c0b88b084838e5d634e742043.png
コンパン,コンパン,item048,https://zukan.pokemon.co.jp/zukan-api/up/images/index/879729bd27fcbeb70250387c978c994a.png
モルフォン,モルフォン,item049,https://zukan.pokemon.co.jp/zukan-api/up/images/index/92433006a17cadb86137c17e112ad8e1.png
ディグダ,ディグダ,item050,https://zukan.pokemon.co.jp/zukan-api/up/images/index/3efc87251ab64921850d8ca921f12742.png
ディグダ（アローラのすがた）,ディグダ,item050-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/806a21be2d43f29ce5a3e4d5d8f7e863.png
ダグトリオ,ダグトリオ,item051,https://zukan.pokemon.co.jp/zukan-api/up/images/index/351fb66b64b55d454a73273197512e76.png
ダグトリオ（アローラのすがた）,ダグトリオ,item051-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/4408b1ab230ed4b852d2682f622fd66c.png
ニャース,ニャース,item052,https://zukan.pokemon.co.jp/zukan-api/up/images/index/1c63b0fab54719842bfa988c788dd413.png
ニャース（アローラのすがた）,ニャース,item052-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/9b166576e2d443dd19048531679f8b84.png
ニャース（ガラルのすがた）,ニャース,item052-2,https://zukan.pokemon.co.jp/zukan-api/up/images/index/0f50cad120cce6f85b93ef7ad46f89ae.png
ニャース（キョダイマックスのすがた）,ニャース,item052-3,https://zukan.pokemon.co.jp/zukan-api/up/images/index/28cca87b4549197328f35893275b7c6b.png
ペルシアン,ペルシアン,item053,https://zukan.pokemon.co.jp/zukan-api/up/images/index/0307cb5bf57607937c2112f9791eb7dd.png
ペルシアン（アローラのすがた）,ペルシアン,item053-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/22b82b4fbc8f9134e2bbe65130be0bb1.png
コダック,コダック,item054,https://zukan.pokemon.co.jp/zukan-api/up/images/index/1598ce3132ba050c4b83abfe0fc8e07f.png
ゴルダック,ゴルダック,item055,https://zukan.pokemon.co.jp/zukan-api/up/images/index/72f25bc26208ee3d05d67266fa3e3f19.png
マンキー,マンキー,item056,https://zukan.pokemon.co.jp/zukan-api/up/images/index/bb1be034b9159c9fd1f1fd6d41031523.png
オコリザル,オコリザル,item057,https://zukan.pokemon.co.jp/zukan-api/up/images/index/3a9bf8f50fd21f764ddc89c7c21e4352.png
ガーディ,ガーディ,item058,https://zukan.pokemon.co.jp/zukan-api/up/images/index/5d402fe5588b8e7985c7848463dfd32d.png
ガーディ（ヒスイのすがた）,ガーディ,item058-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/bf957ad3d76e0dd196992cf69cb7a6d0.png
ウインディ,ウインディ,item059,https://zukan.pokemon.co.jp/zukan-api/up/images/index/92f8076311b0793e0a9d50855a587fb1.png
ウインディ（ヒスイのすがた）,ウインディ,item059-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/72dc4c88cef022b11578b2a347b1cb7b.png
ニョロモ,ニョロモ,item060,https://zukan.pokemon.co.jp/zukan-api/up/images/index/a7f76a0626f211da297e64106d2b8ac2.png
ニョロゾ,ニョロゾ,item061,https://zukan.pokemon.co.jp/zukan-api/up/images/index/50932851d9ad1b96111c5aa559f80ee2.png
ニョロボン,ニョロボン,item062,https://zukan.pokemon.co.jp/zukan-api/up/images/index/a05fafb016c908ed9b4f02017ca80222.png
ケーシィ,ケーシィ,item063,https://zukan.pokemon.co.jp/zukan-api/up/images/index/1f11d615daa6ba477b22209d626192fb.png
ユンゲラー,ユンゲラー,item064,https://zukan.pokemon.co.jp/zukan-api/up/images/index/22ed07e0a058867fb9bcc1d6b6f05158.png
フーディン,フーディン,item065,https://zukan.pokemon.co.jp/zukan-api/up/images/index/476e0a8e106223c20f3c39647d45e4d6.png
メガフーディン,メガフーディン,item065-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/a43a9fb03aa753efa675678a2d7272a3.png
ワンリキー,ワンリキー,item066,https://zukan.pokemon.co.jp/zukan-api/up/images/index/b073f8cd65373c35e35964178c964470.png
ゴーリキー,ゴーリキー,item067,https://zukan.pokemon.co.jp/zukan-api/up/images/index/2611367ff14aca5d58214afd0898af0a.png
カイリキー,カイリキー,item068,https://zukan.pokemon.co.jp/zukan-api/up/images/index/d8ce445a83eb627f134e074cb94dcdf7.png
カイリキー（キョダイマックスのすがた）,カイリキー,item068-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/cc0e945e3afda8a5e7c9134cb8af0c6f.png
マダツボミ,マダツボミ,item069,https://zukan.pokemon.co.jp/zukan-api/up/images/index/a8068927f290b4179bd8d2b74dfa23df.png
ウツドン,ウツドン,item070,https://zukan.pokemon.co.jp/zukan-api/up/images/index/15e4bf554eb3f69c71e2c1abe8d8a53e.png
ウツボット,ウツボット,item071,https://zukan.pokemon.co.jp/zukan-api/up/images/index/55db06706b9e4a450b472f40ed315700.png
メノクラゲ,メノクラゲ,item072,https://zukan.pokemon.co.jp/zukan-api/up/images/index/75d35f0af5132e2eb5012abd3904c255.png
ドククラゲ,ドククラゲ,item073,https://zukan.pokemon.co.jp/zukan-api/up/images/index/570de7ca4eb4100e8bb123f92fd2e168.png
イシツブテ,イシツブテ,item074,https://zukan.pokemon.co.jp/zukan-api/up/images/index/e6bebf36773a902de4c240681ddae913.png
イシツブテ（アローラのすがた）,イシツブテ,item074-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/06108419c15642738047c160bafff4fc.png
ゴローン,ゴローン,item075,https://zukan.pokemon.co.jp/zukan-api/up/images/index/0cba99b51ada3d5256564f02419029b3.png
ゴローン（アローラのすがた）,ゴローン,item075-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/3f403892d48c7eba47d275b37f470315.png
ゴローニャ,ゴローニャ,item076,https://zukan.pokemon.co.jp/zukan-api/up/images/index/cbd88f2a08c24ef5407312d37313db27.png
ゴローニャ（アローラのすがた）,ゴローニャ,item076-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/b998a4deb1348140ee03ec1689dd36a1.png
ポニータ,ポニータ,item077,https://zukan.pokemon.co.jp/zukan-api/up/images/index/086974eacac76b2536e8ccf1f90e3858.png
ポニータ（ガラルのすがた）,ポニータ,item077-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/585aa84a91b6cb6b333efb323b5164c4b693e9b6.png
ギャロップ,ギャロップ,item078,https://zukan.pokemon.co.jp/zukan-api/up/images/index/a6ef4461b8b262f262dd0b8869a381b8.png
ギャロップ（ガラルのすがた）,ギャロップ,item078-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/162c033af95f2fd6eb7b5a8024988391.png
ヤドン,ヤドン,item079,https://zukan.pokemon.co.jp/zukan-api/up/images/index/81a5fea3e63a978c62f03bfcb0dab92c.png
ヤドン（ガラルのすがた）,ヤドン,item079-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/082d12d2b4b9120cc72089d979e85553.png
ヤドラン,ヤドラン,item080,https://zukan.pokemon.co.jp/zukan-api/up/images/index/9c29450298d92f3cbc5f53de2bc24b30.png
メガヤドラン,メガヤドラン,item080-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/848be716bd69540c338571388b9c873c.png
ヤドラン（ガラルのすがた）,ヤドラン,item080-2,https://zukan.pokemon.co.jp/zukan-api/up/images/index/731cf392bc50a14dddb2fa52f52b3aa3.png
コイル,コイル,item081,https://zukan.pokemon.co.jp/zukan-api/up/images/index/18f900a68f65bb6ddf99aacb958d0cf1.png
レアコイル,レアコイル,item082,https://zukan.pokemon.co.jp/zukan-api/up/images/index/2cde853ca5f0138eb9498cdb170a3bed.png
カモネギ,カモネギ,item083,https://zukan.pokemon.co.jp/zukan-api/up/images/index/1d7ee06c153766c408532e0a16f2f250.png
カモネギ（ガラルのすがた）,カモネギ,item083-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/9bb24771cf0ab3abf5fc4b8af2962035.png
ドードー,ドードー,item084,https://zukan.pokemon.co.jp/zukan-api/up/images/index/1f943b599aa91b6a158631109bc0eb6b.png
ドードリオ,ドードリオ,item085,https://zukan.pokemon.co.jp/zukan-api/up/images/index/20f575553f437c325310abe6addcccaa.png
パウワウ,パウワウ,item086,https://zukan.pokemon.co.jp/zukan-api/up/images/index/e05c65036e0dada02887142f3814de3b.png
ジュゴン,ジュゴン,item087,https://zukan.pokemon.co.jp/zukan-api/up/images/index/1c7b679f87c91fbf89d6ba30484a26a5.png
ベトベター,ベトベター,item088,https://zukan.pokemon.co.jp/zukan-api/up/images/index/dfecaf098655c2bc2c9d45062990b730.png
ベトベター（アローラのすがた）,ベトベター,item088-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/a7900e12a91e2be8914a525132163587.png
ベトベトン,ベトベトン,item089,https://zukan.pokemon.co.jp/zukan-api/up/images/index/e62c93e835ea8b138c76ec252d3abfd7.png
ベトベトン（アローラのすがた）,ベトベトン,item089-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/368a931a535b6f206cb7f2aad201a25d.png
シェルダー,シェルダー,item090,https://zukan.pokemon.co.jp/zukan-api/up/images/index/fdee86cba8251ac062fb35464be97893.png
パルシェン,パルシェン,item091,https://zukan.pokemon.co.jp/zukan-api/up/images/index/23112b180122cf0b1dcbd002f3237c84.png
ゴース,ゴース,item092,https://zukan.pokemon.co.jp/zukan-api/up/images/index/f1cedbc947a9badcae368ffea40ec838.png
ゴースト,ゴースト,item093,https://zukan.pokemon.co.jp/zukan-api/up/images/index/9a1983692129408930c3a2edcef168e9.png
ゲンガー,ゲンガー,item094,https://zukan.pokemon.co.jp/zukan-api/up/images/index/0fc270f9d01f7608159217e9c0cec36e.png
メガゲンガー,メガゲンガー,item094-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/a181ba8e9537f59b0b59b059566c4d6c.png
ゲンガー（キョダイマックスのすがた）,ゲンガー,item094-2,https://zukan.pokemon.co.jp/zukan-api/up/images/index/a3077bd7f4118fc7954f060cc4f4ac47.png
イワーク,イワーク,item095,https://zukan.pokemon.co.jp/zukan-api/up/images/index/0591d5b1186b57e6718dbbe0c9c902f9.png
スリープ,スリープ,item096,https://zukan.pokemon.co.jp/zukan-api/up/images/index/593f3765d016a36d66e8a0cb948e0945.png
スリーパー,スリーパー,item097,https://zukan.pokemon.co.jp/zukan-api/up/images/index/dc363e8a967c85cabc94651ab295b6a1.png
クラブ,クラブ,item098,https://zukan.pokemon.co.jp/zukan-api/up/images/index/1306eee3d2d4cfb7c3875fd3d2f1a0d7.png
キングラー,キングラー,item099,https://zukan.pokemon.co.jp/zukan-api/up/images/index/3d5ac78797e10c80b092f070ccfb9ab0.png
キングラー（キョダイマックスのすがた）,キングラー,item099-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/c57666dd5fa552ab71c70f142eedfd22.png
ビリリダマ,ビリリダマ,item100,https://zukan.pokemon.co.jp/zukan-api/up/images/index/da79c76eb32d0f78ea87e59daa81d32a.png
ビリリダマ（ヒスイのすがた）,ビリリダマ,item100-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/517ea53855305a05f18739158ddc2c8f.png
マルマイン,マルマイン,item101,https://zukan.pokemon.co.jp/zukan-api/up/images/index/35ebe89a95a2024373c89c3915c98466.png
マルマイン（ヒスイのすがた）,マルマイン,item101-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/8f4f1d93820824ea0070209890eca740.png
タマタマ,タマタマ,item102,https://zukan.pokemon.co.jp/zukan-api/up/images/index/cd59d446082ac10fb65ffeced3aa2b61.png
ナッシー,ナッシー,item103,https://zukan.pokemon.co.jp/zukan-api/up/images/index/61342033e99c9a6b78375e9395693103.png
ナッシー（アローラのすがた）,ナッシー,item103-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/a730705597f56d58c2b3cf2b0e0d237f.png
カラカラ,カラカラ,item104,https://zukan.pokemon.co.jp/zukan-api/up/images/index/21efed82cd17789b5a3b90d1ea0aea74.png
ガラガラ,ガラガラ,item105,https://zukan.pokemon.co.jp/zukan-api/up/images/index/3fc23c64b0c42dd14ca6ddb1021951fb.png
ガラガラ（アローラのすがた）,ガラガラ,item105-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/5300323f5d65a8504b4ffa107f536ca2.png
サワムラー,サワムラー,item106,https://zukan.pokemon.co.jp/zukan-api/up/images/index/76c62419946ea144ad9c1b9b6d70bf0c.png
エビワラー,エビワラー,item107,https://zukan.pokemon.co.jp/zukan-api/up/images/index/61021303787d1c48998bfc5a38e97628.png
ベロリンガ,ベロリンガ,item108,https://zukan.pokemon.co.jp/zukan-api/up/images/index/4b5c91e3d51f5a2caec495792ce23cb2.png
ドガース,ドガース,item109,https://zukan.pokemon.co.jp/zukan-api/up/images/index/ca40a23fe6896105cc07fa29ad64bd08.png
マタドガス,マタドガス,item110,https://zukan.pokemon.co.jp/zukan-api/up/images/index/9a21046256538d454e16ef0e166622f4.png
マタドガス（ガラルのすがた）,マタドガス,item110-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/e24ce101016877c568cd1bf9e7475e6c.png
サイホーン,サイホーン,item111,https://zukan.pokemon.co.jp/zukan-api/up/images/index/df6eceb4773e1844b190ed6546a6aaf6.png
サイドン,サイドン,item112,https://zukan.pokemon.co.jp/zukan-api/up/images/index/07ea9a076065af16dc3c4e911b531c04.png
ラッキー,ラッキー,item113,https://zukan.pokemon.co.jp/zukan-api/up/images/index/8a853a10949c8180c7d8b83448fb2e9a.png
モンジャラ,モンジャラ,item114,https://zukan.pokemon.co.jp/zukan-api/up/images/index/66e89f2d3c6d41bd0b006df6c8b32f1f.png
ガルーラ,ガルーラ,item115,https://zukan.pokemon.co.jp/zukan-api/up/images/index/65f80d034385d3a237f8c4b352b7da08.png
メガガルーラ,メガガルーラ,item115-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/54eae00b65c76d93547d6ab1615993e7.png
タッツー,タッツー,item116,https://zukan.pokemon.co.jp/zukan-api/up/images/index/104987cc657f0c56fe892d860601b2df.png
シードラ,シードラ,item117,https://zukan.pokemon.co.jp/zukan-api/up/images/index/5fa49a3c35f8819bbbd269988050c529.png
トサキント,トサキント,item118,https://zukan.pokemon.co.jp/zukan-api/up/images/index/5ce7213ae51ae9e77b7cf4caaca2883c.png
アズマオウ,アズマオウ,item119,https://zukan.pokemon.co.jp/zukan-api/up/images/index/a78780cdf17613220dec3528a81ec723.png
ヒトデマン,ヒトデマン,item120,https://zukan.pokemon.co.jp/zukan-api/up/images/index/700edae5ce35ac5c9ae8fd3f1a3df09c.png
スターミー,スターミー,item121,https://zukan.pokemon.co.jp/zukan-api/up/images/index/b3eeec98afa9e5b4c0cdddb87d3c916c.png
バリヤード,バリヤード,item122,https://zukan.pokemon.co.jp/zukan-api/up/images/index/790e1cc5a98ae89c1a690a8ce2be518b.png
バリヤード（ガラルのすがた）,バリヤード,item122-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/2d602cb7072193f6bbe2106be15c0d21.png
ストライク,ストライク,item123,https://zukan.pokemon.co.jp/zukan-api/up/images/index/7e582a141deaf83a2e5e1571b31b0a7d.png
ルージュラ,ルージュラ,item124,https://zukan.pokemon.co.jp/zukan-api/up/images/index/6a82ef9b6032d7857f2ba374812dbc4c.png
エレブー,エレブー,item125,https://zukan.pokemon.co.jp/zukan-api/up/images/index/34cc304acab90875f5315cf21dedc8c6.png
ブーバー,ブーバー,item126,https://zukan.pokemon.co.jp/zukan-api/up/images/index/a296480f05e68457f0a86ae0093757c2.png
カイロス,カイロス,item127,https://zukan.pokemon.co.jp/zukan-api/up/images/index/c38aeb21a2584abcf36d8c504ea69234.png
メガカイロス,メガカイロス,item127-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/48b4dd53e7853fd667ddcb6ba9a1a380.png
ケンタロス,ケンタロス,item128,https://zukan.pokemon.co.jp/zukan-api/up/images/index/828b87b6a3fa15212fce9aff91b77379.png
コイキング,コイキング,item129,https://zukan.pokemon.co.jp/zukan-api/up/images/index/725683d9401d1b8d7baa32a4ebb3420e.png
ギャラドス,ギャラドス,item130,https://zukan.pokemon.co.jp/zukan-api/up/images/index/0b70060ccc8814324902f265629f62da.png
メガギャラドス,メガギャラドス,item130-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/72fc672bc17c34db4f3fda9f633b1131.png
ラプラス,ラプラス,item131,https://zukan.pokemon.co.jp/zukan-api/up/images/index/67b12a076200e612d20f190a7e803fe7.png
ラプラス（キョダイマックスのすがた）,ラプラス,item131-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/6350177ef25f42f23a1335a93b44fea6.png
メタモン,メタモン,item132,https://zukan.pokemon.co.jp/zukan-api/up/images/index/fa9f283cc0ece72cb47f96a4e415bd6d.png
イーブイ,イーブイ,item133,https://zukan.pokemon.co.jp/zukan-api/up/images/index/6b4ad5486d52d9421336881b1d542b3c.png
イーブイ（キョダイマックスのすがた）,イーブイ,item133-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/d032919055640037e0d901497852b779.png
シャワーズ,シャワーズ,item134,https://zukan.pokemon.co.jp/zukan-api/up/images/index/917aa401414c731db6a85a9b36951879.png
サンダース,サンダース,item135,https://zukan.pokemon.co.jp/zukan-api/up/images/index/0f2dba37e1cb90d38897ee03c4692aac.png
ブースター,ブースター,item136,https://zukan.pokemon.co.jp/zukan-api/up/images/index/2ec191b619eeb9ba7640147b79c57eca.png
ポリゴン,ポリゴン,item137,https://zukan.pokemon.co.jp/zukan-api/up/images/index/c91813a1e194d673d7f7ca083249dd96.png
オムナイト,オムナイト,item138,https://zukan.pokemon.co.jp/zukan-api/up/images/index/11802261aef450ac30063c7b6dad36af.png
オムスター,オムスター,item139,https://zukan.pokemon.co.jp/zukan-api/up/images/index/0f150e6e9975206a2c141d06241ef7d7.png
カブト,カブト,item140,https://zukan.pokemon.co.jp/zukan-api/up/images/index/7d85b864af6167a25ad21fec4feca535.png
カブトプス,カブトプス,item141,https://zukan.pokemon.co.jp/zukan-api/up/images/index/d6cee864f002c3e93470056343d6e7c6.png
プテラ,プテラ,item142,https://zukan.pokemon.co.jp/zukan-api/up/images/index/a32a7196b658b8aa2bed25d2bb7450bd.png
メガプテラ,メガプテラ,item142-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/89a9f6404c706bf25d6737de8f4dcf12.png
カビゴン,カビゴン,item143,https://zukan.pokemon.co.jp/zukan-api/up/images/index/6e5da272c4ebcf55ffd85a8cfa76046b.png
カビゴン（キョダイマックスのすがた）,カビゴン,item143-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/9a45ad2ab29f570de81ee3d4313c4c39.png
